Umid,TempDHT,Press,Tempbmp,Altitud,TempMedia,Dt,Tempo
50,22,990.40,23.27,-169.40,22.64,357,30659
50,22,990.40,23.27,-169.38,22.64,358,31785
50,22,990.40,23.27,-169.40,22.64,359,-32353
50,22,990.40,23.27,-169.40,22.64,361,-31226
50,22,990.41,23.27,-169.43,22.64,362,-29828
50,22,990.41,23.27,-169.43,22.64,363,-28701
50,22,990.41,23.27,-169.44,22.64,364,-27303
50,22,990.41,23.27,-169.44,22.64,366,-26176
50,22,990.41,23.27,-169.43,22.64,367,-24777
50,22,990.40,23.27,-169.41,22.64,368,-23651
50,22,990.40,23.27,-169.41,22.64,370,-22253
50,22,990.40,23.27,-169.40,22.64,371,-21126
50,22,990.41,23.27,-169.43,22.64,372,-19728
50,22,990.41,23.27,-169.44,22.64,373,-18600
50,22,990.41,23.27,-169.43,22.64,375,-17202
50,22,990.40,23.27,-169.39,22.64,376,-16075
50,22,990.40,23.27,-169.35,22.64,377,-14677
50,22,990.40,23.27,-169.35,22.64,378,-13550
50,22,990.39,23.27,-169.32,22.64,380,-12152
50,22,990.40,23.27,-169.39,22.64,381,-11025
50,22,990.40,23.27,-169.39,22.64,382,-9626
50,22,990.40,23.27,-169.37,22.64,383,-8501
50,22,990.40,23.28,-169.37,22.64,385,-7104
50,22,990.40,23.27,-169.35,22.64,386,-5978
50,22,990.40,23.28,-169.37,22.64,387,-4581
50,22,990.40,23.28,-169.35,22.64,388,-3454
50,22,990.40,23.28,-169.34,22.64,390,-2057
50,22,990.40,23.28,-169.40,22.64,391,-931
50,22,990.40,23.28,-169.39,22.64,392,464
50,22,990.40,23.28,-169.39,22.64,393,1589
50,22,990.41,23.28,-169.43,22.64,395,2984
50,22,990.40,23.28,-169.40,22.64,396,4109
50,22,990.40,23.28,-169.42,22.64,397,5506
50,22,990.41,23.28,-169.46,22.64,398,6630
50,22,990.41,23.28,-169.46,22.64,400,8026
50,22,990.41,23.28,-169.48,22.64,401,9151
50,22,990.41,23.28,-169.46,22.64,402,10548
50,22,990.41,23.28,-169.45,22.64,403,11673
50,22,990.41,23.29,-169.48,22.65,405,13070
50,22,990.41,23.29,-169.46,22.65,406,14196
50,22,990.41,23.29,-169.43,22.65,407,15593
50,22,990.41,23.29,-169.43,22.65,408,16719
50,22,990.41,23.29,-169.43,22.65,410,18117
50,22,990.41,23.29,-169.44,22.65,411,19243
50,22,990.41,23.29,-169.44,22.65,412,20639
50,22,990.41,23.29,-169.46,22.65,414,21766
50,22,990.41,23.29,-169.48,22.65,415,23162
50,22,990.41,23.29,-169.48,22.65,416,24288
50,22,990.41,23.28,-169.46,22.64,417,25686
50,22,990.41,23.28,-169.48,22.64,419,26811
50,22,990.42,23.28,-169.52,22.64,420,28208
50,22,990.42,23.28,-169.53,22.64,421,29334
50,22,990.42,23.28,-169.57,22.64,422,30731
50,22,990.42,23.28,-169.58,22.64,424,31856
50,22,990.42,23.28,-169.57,22.64,425,-32282
50,22,990.42,23.28,-169.58,22.64,426,-31156
51,22,990.42,23.28,-169.57,22.64,428,-29758
51,22,990.42,23.28,-169.53,22.64,429,-28631
51,22,990.42,23.28,-169.55,22.64,430,-27233
51,22,990.42,23.27,-169.54,22.64,431,-26106
51,22,990.42,23.27,-169.51,22.64,433,-24708
51,22,990.41,23.27,-169.49,22.64,434,-23581
51,22,990.41,23.26,-169.45,22.63,435,-22183
51,22,990.40,23.26,-169.42,22.63,436,-21056
51,22,990.41,23.26,-169.44,22.63,438,-19658
51,22,990.41,23.26,-169.45,22.63,439,-18531
51,22,990.40,23.26,-169.41,22.63,440,-17132
51,22,990.40,23.26,-169.42,22.63,441,-16006
51,22,990.41,23.26,-169.43,22.63,443,-14607
51,22,990.41,23.26,-169.45,22.63,444,-13480
51,22,990.40,23.26,-169.42,22.63,445,-12083
51,22,990.40,23.26,-169.41,22.63,446,-10955
51,22,990.40,23.26,-169.41,22.63,448,-9557
51,22,990.40,23.26,-169.42,22.63,449,-8431
51,22,990.40,23.26,-169.42,22.63,450,-7033
51,22,990.40,23.26,-169.42,22.63,451,-5908
51,22,990.40,23.25,-169.39,22.63,453,-4510
51,22,990.40,23.25,-169.39,22.63,454,-3385
51,22,990.41,23.25,-169.43,22.63,455,-1988
51,22,990.40,23.25,-169.42,22.63,456,-862
51,22,990.40,23.25,-169.41,22.63,458,535
51,22,990.40,23.25,-169.41,22.63,459,1658
51,22,990.40,23.25,-169.38,22.63,460,3055
51,22,990.40,23.25,-169.39,22.63,461,4179
51,22,990.40,23.25,-169.38,22.63,463,5575
51,22,990.40,23.25,-169.36,22.63,464,6701
50,22,990.40,23.25,-169.36,22.63,465,8097
50,22,990.40,23.25,-169.36,22.63,467,9222
50,22,990.40,23.26,-169.38,22.63,468,10617
50,22,990.40,23.25,-169.38,22.63,469,11744
50,22,990.40,23.25,-169.38,22.63,470,13140
50,22,990.40,23.25,-169.38,22.63,472,14267
50,22,990.40,23.26,-169.38,22.63,473,15664
50,22,990.40,23.26,-169.34,22.63,474,16789
50,22,990.40,23.26,-169.38,22.63,475,18186
50,22,990.40,23.26,-169.38,22.63,477,19312
50,22,990.40,23.26,-169.38,22.63,478,20710
50,22,990.40,23.26,-169.41,22.63,479,21835
50,22,990.40,23.26,-169.41,22.63,481,23232
50,22,990.40,23.26,-169.41,22.63,482,24358
50,22,990.40,23.26,-169.41,22.63,483,25755
50,22,990.40,23.26,-169.42,22.63,484,26882
50,22,990.41,23.26,-169.44,22.63,486,28279
50,22,990.41,23.26,-169.44,22.63,487,29405
50,22,990.41,23.26,-169.45,22.63,488,30801
50,22,990.41,23.26,-169.46,22.63,489,31928
50,22,990.41,23.26,-169.46,22.63,491,-32211
50,22,990.41,23.26,-169.50,22.63,492,-31085
50,22,990.41,23.26,-169.48,22.63,493,-29686
50,22,990.41,23.26,-169.50,22.63,494,-28560
50,22,990.41,23.26,-169.50,22.63,496,-27162
50,22,990.41,23.26,-169.49,22.63,497,-26035
50,22,990.41,23.25,-169.48,22.63,498,-24636
50,22,990.41,23.25,-169.51,22.63,499,-23484
50,22,990.41,23.25,-169.46,22.63,501,-22086
50,22,990.41,23.25,-169.48,22.63,502,-20959
50,22,990.41,23.25,-169.49,22.63,503,-19560
50,22,990.41,23.25,-169.49,22.63,504,-18434
50,22,990.41,23.25,-169.48,22.63,506,-17036
50,22,990.41,23.25,-169.43,22.63,507,-15908
50,22,990.40,23.25,-169.40,22.63,508,-14511
50,22,990.40,23.25,-169.42,22.63,509,-13384
50,22,990.40,23.25,-169.40,22.63,511,-11985
50,22,990.40,23.25,-169.39,22.63,512,-10859
50,22,990.40,23.25,-169.36,22.63,513,-9461
50,22,990.39,23.25,-169.33,22.63,514,-8335
50,22,990.40,23.25,-169.36,22.63,516,-6937
50,22,990.40,23.25,-169.36,22.63,517,-5812
50,22,990.40,23.25,-169.36,22.63,518,-4415
50,22,990.40,23.25,-169.36,22.63,520,-3289
50,22,990.39,23.25,-169.30,22.63,521,-1892
50,22,990.39,23.25,-169.30,22.63,522,-765
50,22,990.39,23.25,-169.30,22.63,523,631
50,22,990.39,23.25,-169.30,22.63,525,1755
50,22,990.40,23.25,-169.34,22.63,526,3150
50,22,990.39,23.25,-169.31,22.63,527,4276
50,22,990.39,23.26,-169.32,22.63,528,5672
50,22,990.39,23.26,-169.29,22.63,530,6797
50,22,990.39,23.26,-169.32,22.63,531,8193
50,22,990.39,23.26,-169.32,22.63,532,9318
50,22,990.39,23.26,-169.32,22.63,534,10714
50,22,990.40,23.26,-169.34,22.63,535,11840
50,22,990.40,23.26,-169.35,22.63,536,13237
50,22,990.40,23.26,-169.35,22.63,537,14362
50,22,990.39,23.26,-169.33,22.63,539,15759
50,22,990.39,23.26,-169.30,22.63,540,16885
50,22,990.39,23.26,-169.30,22.63,541,18283
50,22,990.39,23.27,-169.34,22.64,542,19408
50,22,990.39,23.27,-169.32,22.64,544,20805
50,22,990.39,23.27,-169.32,22.64,545,21932
50,22,990.39,23.27,-169.31,22.64,546,23328
50,22,990.40,23.27,-169.34,22.64,547,24455
50,22,990.39,23.27,-169.32,22.64,549,25852
50,22,990.39,23.27,-169.31,22.64,550,26978
50,22,990.39,23.27,-169.30,22.64,551,28375
50,22,990.39,23.27,-169.28,22.64,552,29501
50,22,990.39,23.27,-169.26,22.64,554,30898
50,22,990.39,23.27,-169.28,22.64,555,32023
50,22,990.39,23.28,-169.30,22.64,556,-32115
50,22,990.39,23.28,-169.30,22.64,557,-30989
50,22,990.39,23.28,-169.30,22.64,559,-29591
50,22,990.39,23.28,-169.27,22.64,560,-28464
50,22,990.39,23.28,-169.27,22.64,561,-27065
50,22,990.39,23.28,-169.28,22.64,562,-25938
50,22,990.39,23.28,-169.28,22.64,564,-24540
50,22,990.39,23.28,-169.30,22.64,565,-23413
50,22,990.39,23.28,-169.30,22.64,566,-22015
50,22,990.39,23.28,-169.27,22.64,567,-20888
50,22,990.39,23.29,-169.28,22.65,569,-19489
50,22,990.39,23.29,-169.28,22.65,570,-18363
50,22,990.39,23.29,-169.25,22.65,571,-16965
50,22,990.39,23.29,-169.27,22.65,573,-15838
50,22,990.39,23.29,-169.31,22.65,574,-14440
50,22,990.39,23.29,-169.33,22.65,575,-13312
50,22,990.40,23.29,-169.37,22.65,576,-11914
50,22,990.40,23.29,-169.40,22.65,578,-10787
50,22,990.40,23.29,-169.37,22.65,579,-9390
50,22,990.40,23.29,-169.39,22.65,580,-8263
50,22,990.40,23.29,-169.37,22.65,581,-6866
50,22,990.40,23.30,-169.41,22.65,583,-5740
50,22,990.40,23.30,-169.38,22.65,584,-4342
50,22,990.40,23.30,-169.36,22.65,585,-3217
50,22,990.40,23.30,-169.36,22.65,587,-1820
50,22,990.40,23.30,-169.36,22.65,588,-694
50,22,990.39,23.30,-169.33,22.65,589,703
50,22,990.40,23.30,-169.36,22.65,590,1826
